cycles;jobque;readyque;processOnThread;availableFrames;pageFaults
300;5;1;111;31;0
600;5;1;111;30;0
900;5;1;111;29;0
1200;5;2;555;28;0
1500;5;2;555;27;0
1800;5;2;555;26;0
1800;4;1;555;29;0
2100;4;2;222;28;0
2400;4;2;222;27;0
2700;4;2;222;26;0
2751;4;2;222;26;26
3051;4;3;444;25;0
3351;4;3;444;24;0
3651;4;3;444;23;0
3951;4;2;222;25;26
4383;4;2;333;28;0
4683;4;2;333;27;0
4983;4;2;333;26;0
5283;4;2;444;28;1
5583;4;2;444;27;1
5883;4;2;444;26;1
6218;4;2;333;28;30
6373;4;1;333;29;30
6373;3;1;333;29;30
6491;3;1;444;29;20
6800;3;1;111;28;8
7100;3;1;111;27;8
7145;3;0;111;32;8
7145;2;0;444;32;20
7145;1;0;111;32;8
7145;0;0;222;32;26
